svm_type one_class
kernel_type rbf
gamma 0.0001
nr_class 2
total_sv 48
rho 0.085374604712982471
SV
0.085465660675836219 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:4076 10:1 11:0 12:0 13:0 14:1 15:9 16:0 17:0 18:0 19:0 20:1 21:0 22:0.33 23:45 24:66 25:0.69 26:0.07 27:0.02 28:0.05 29:0 30:0 31:0 32:0 
0.038856437007826344 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:10 9:173 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:2 24:1 25:0.5 26:1 27:0.5 28:0 29:0 30:0 31:0 32:0 
0.085448789383536769 0:5041 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:5131424 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:255 24:65 25:0.25 26:0.02 27:0 28:0 29:0.75 30:0.85 31:0 32:0 
0.0024534448339467844 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:10 9:273 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:131 24:15 25:0.05 26:0.03 27:0.01 28:0.13 29:0 30:0 31:0 32:0 
0.064560234286463 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:7 9:674 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:24 24:2 25:0.04 26:0.08 27:0.04 28:1 29:0 30:0 31:0 32:0 
0.063647940252401752 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:9 9:593 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:195 24:8 25:0.04 26:0.02 27:0.01 28:0.25 29:0.01 30:0 31:0 32:0 
0.033629536918378999 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:376 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:32 24:63 25:0.34 26:0.16 27:0.03 28:0.03 29:0 30:0 31:0.06 32:0 
0.052507914233212209 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:544 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:21 24:59 25:0.33 26:0.19 27:0.05 28:0.03 29:0 30:0 31:0.05 32:0 
0.0065211755378700434 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:8 9:511 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:95 24:6 25:0.06 26:0.04 27:0.01 28:0 29:0 30:0 31:0 32:0 
0.085744667941616282 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:11269 10:1 11:0 12:0 13:0 14:2 15:9 16:0 17:0 18:0 19:0 20:0.5 21:1 22:0.22 23:201 24:74 25:0.37 26:0.03 27:0 28:0 29:0.01 30:0.03 31:0 32:0 
0.0079083307971656754 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:7 9:491 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:178 24:9 25:0.02 26:0.02 27:0.01 28:0.22 29:0 30:0 31:0.03 32:0.22 
0.085712408940489565 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:61632 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:46 24:76 25:0.2 26:0.11 27:0.02 28:0.03 29:0 30:0.01 31:0 32:0 
0.072900179456906744 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:735 10:1 11:0 12:0 13:0 14:2 15:1 16:0 17:0 18:0.5 19:0 20:0.5 21:1 22:0 23:139 24:70 25:0.42 26:0.04 27:0.01 28:0.03 29:0 30:0 31:0.01 32:0 
