svm_type one_class
kernel_type rbf
gamma 0.00029999999999999997
nr_class 2
total_sv 638
rho 0.028881374788668208
SV
0.012118909998266373 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:44 9:133 10:1 11:0 12:0 13:0 14:73 15:75 16:0 17:0 18:0 19:0 20:1 21:0 22:0.03 23:122 24:212 25:0.88 26:0.02 27:0.88 28:0.01 29:0 30:0 31:0.08 32:0 
0.0097483853317978444 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:246 9:2719 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.07 29:0 30:0 31:0 32:0 
0.021651162578761748 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:335 9:7902 10:1 11:0 12:0 13:0 14:1 15:8 16:0 17:0 18:0 19:0 20:1 21:0 22:0.88 23:1 24:255 25:1 26:0 27:1 28:0.04 29:0 30:0 31:0 32:0 
0.0089827568457896394 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:36 9:0 10:1 11:0 12:0 13:0 14:2 15:4 16:0 17:0 18:0 19:0 20:1 21:0 22:0.75 23:67 24:171 25:1 26:0 27:1 28:0.01 29:0 30:0 31:0 32:0 
0.0070011765510774194 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:235 9:1889 10:1 11:0 12:0 13:0 14:1 15:19 16:0 17:0 18:0 19:0 20:1 21:0 22:0.16 23:1 24:255 25:1 26:0 27:1 28:0.01 29:0 30:0 31:0 32:0 
0.014634584175284751 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:516 9:4 10:1 11:0 12:0 13:0 14:191 15:191 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:191 24:191 25:1 26:0 27:1 28:0 29:0 30:0 31:0 32:0 
0.02741708109459013 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:2760 9:370 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:154 25:1 26:0 27:1 28:0.01 29:0 30:0.01 31:0 32:0 
0.017148379272068623 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:516 9:4 10:1 11:0 12:0 13:0 14:148 15:148 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:148 24:148 25:1 26:0 27:1 28:0 29:0 30:0 31:0 32:0 
0.011026572882646093 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:268 9:656 10:1 11:0 12:0 13:0 14:1 15:26 16:0 17:0 18:0 19:0 20:1 21:0 22:0.08 23:1 24:255 25:1 26:0 27:1 28:0.08 29:0 30:0 31:0 32:0 
0.019401360429108359 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:149 9:13592 10:1 11:0 12:0 13:0 14:1 15:2 16:0 17:0 18:0 19:0 20:1 21:0 22:1 23:1 24:255 25:1 26:0 27:1 28:0.04 29:0 30:0 31:0 32:0 
0.012588078474625009 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:317 9:789 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.04 29:0 30:0 31:0 32:0 
0.0069132457537274426 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:213 9:2713 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.05 29:0 30:0 31:0 32:0 
0.020263985564208234 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:151 9:9578 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.07 29:0 30:0.01 31:0 32:0 
0.010475770507196914 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:740 9:0 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:36 24:85 25:0.89 26:0.06 27:0.89 28:0.04 29:0 30:0 31:0 32:0 
0.017332380350876614 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:236 9:2911 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.05 29:0 30:0 31:0 32:0 
0.029021483126223234 0:0 1:1 2:0 3:0 4:0 5:1 6:1 7:0 8:147 9:16060 10:1 11:0 12:0 13:0 14:1 15:3 16:1 17:0.33 18:0 19:0 20:1 21:0 22:1 23:1 24:255 25:1 26:0 27:1 28:0.06 29:1 30:0.01 31:0 32:0 
0.0287361235561963 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:317 9:16978 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.02 29:0 30:0 31:0 32:0 
0.0039757762969767612 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:238 9:5120 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.02 29:0 30:0 31:0 32:0 
