svm_type one_class
kernel_type rbf
gamma 0.001
nr_class 2
total_sv 758
rho 0.020292287985951878
SV
0.014616355205920733 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:44 9:133 10:1 11:0 12:0 13:0 14:73 15:75 16:0 17:0 18:0 19:0 20:1 21:0 22:0.03 23:122 24:212 25:0.88 26:0.02 27:0.88 28:0.01 29:0 30:0 31:0.08 32:0 
0.013765441438535345 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:246 9:2719 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.07 29:0 30:0 31:0 32:0 
0.014910821312208798 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:335 9:7902 10:1 11:0 12:0 13:0 14:1 15:8 16:0 17:0 18:0 19:0 20:1 21:0 22:0.88 23:1 24:255 25:1 26:0 27:1 28:0.04 29:0 30:0 31:0 32:0 
0.012955112378804539 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:516 9:4 10:1 11:0 12:0 13:0 14:151 15:151 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:151 24:151 25:1 26:0 27:1 28:0 29:0 30:0 31:0 32:0 
0.0079834197639863345 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:235 9:1889 10:1 11:0 12:0 13:0 14:1 15:19 16:0 17:0 18:0 19:0 20:1 21:0 22:0.16 23:1 24:255 25:1 26:0 27:1 28:0.01 29:0 30:0 31:0 32:0 
0.013265980697074258 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:516 9:4 10:1 11:0 12:0 13:0 14:191 15:191 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:191 24:191 25:1 26:0 27:1 28:0 29:0 30:0 31:0 32:0 
0.020738138690045725 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:2760 9:370 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:154 25:1 26:0 27:1 28:0.01 29:0 30:0.01 31:0 32:0 
0.01364594553351553 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:268 9:656 10:1 11:0 12:0 13:0 14:1 15:26 16:0 17:0 18:0 19:0 20:1 21:0 22:0.08 23:1 24:255 25:1 26:0 27:1 28:0.08 29:0 30:0 31:0 32:0 
0.019199044314106573 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:149 9:13592 10:1 11:0 12:0 13:0 14:1 15:2 16:0 17:0 18:0 19:0 20:1 21:0 22:1 23:1 24:255 25:1 26:0 27:1 28:0.04 29:0 30:0 31:0 32:0 
0.015762421138156627 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:317 9:789 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.04 29:0 30:0 31:0 32:0 
0.0011948639775187665 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:8766 9:0 10:1 11:0 12:0 13:0 14:4 15:4 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:10 24:97 25:1 26:0 27:1 28:0.02 29:0 30:0 31:0 32:0 
0.014668015550405736 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:213 9:2713 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.05 29:0 30:0 31:0 32:0 
0.019900121031978874 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:151 9:9578 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.07 29:0 30:0.01 31:0 32:0 
0.012122560635835951 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:740 9:0 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:36 24:85 25:0.89 26:0.06 27:0.89 28:0.04 29:0 30:0 31:0 32:0 
0.020218648444355617 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:236 9:2911 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.05 29:0 30:0 31:0 32:0 
0.020440164733654079 0:0 1:1 2:0 3:0 4:0 5:1 6:1 7:0 8:147 9:16060 10:1 11:0 12:0 13:0 14:1 15:3 16:1 17:0.33 18:0 19:0 20:1 21:0 22:1 23:1 24:255 25:1 26:0 27:1 28:0.06 29:1 30:0.01 31:0 32:0 
0.020453266426312483 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:317 9:16978 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.02 29:0 30:0 31:0 32:0 
0.016800725170637201 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:238 9:5120 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.02 29:0 30:0 31:0 32:0 
0.018439092215381626 0:0 1:1 2:0 3:0 4:1 5:0 6:0 7:1 8:1203 9:405 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:174 25:1 26:0 27:1 28:0.02 29:0 30:0 31:0 32:0 
0.016291635274332989 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:208 9:2011 10:1 11:0 12:0 13:0 14:1 15:9 16:0 17:0 18:0 19:0 20:1 21:0 22:0.22 23:1 24:255 25:1 26:0 27:1 28:0.03 29:0 30:0 31:0 32:0 
0.019811249120530915 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:227 9:3971 10:1 11:0 12:0 13:0 14:1 15:4 16:0 17:0 18:0 19:0 20:1 21:0 22:0.5 23:1 24:255 25:1 26:0 27:1 28:0.01 29:0 30:0 31:0 32:0 
0.0088299339059705953 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:281 9:406 10:1 11:0 12:0 13:0 14:1 15:17 16:0 17:0 18:0 19:0 20:1 21:0 22:0.12 23:1 24:255 25:1 26:0 27:1 28:0.06 29:0 30:0 31:0 32:0 
0.0080045029773331972 0:0 1:1 2:0 3:0 4:0 5:1 6:0 7:1 8:162 9:19994 10:1 11:0 12:0 13:0 14:1 15:1 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:1 24:255 25:1 26:0 27:1 28:0.04 29:0 30:0 31:0 32:0 
0.0082004948500736512 0:0 1:0 2:1 3:0 4:1 5:0 6:0 7:1 8:516 9:4 10:1 11:0 12:0 13:0 14:305 15:305 16:0 17:0 18:0 19:0 20:1 21:0 22:0 23:255 24:255 25:1 26:0 27:1 28:0 29:0 30:0 31:0 32:0 
